player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Seyi Ajirotutu,6035,WR,9,SD,31,0,0,31,0,0,0,0,0,69.9,,58.8,0,0,0,0,0,0
Richard Brockel,6037,FB,15,CAR,169,0,25,144,0,0,0,0,2,63.3,52.8,67.3,0,1,4,5,0,0
Justin Drescher,6117,LS,1,NO,1,0,1,0,0,0,1,0,0,60.0,0.0,,0,0,1,1,1,1
Tyler Clutts,6124,FB,8,DAL,67,0,8,59,0,0,0,0,0,63.6,81.3,74.5,0,0,0,0,0,0
Andrew Hawkins,6125,WR,8,CIN,30,0,0,30,0,0,0,0,0,73.1,,74.5,0,0,0,0,0,0
Bryan Walters,6139,WR,4,SEA,25,0,0,25,0,0,0,0,0,55.6,,70.6,0,0,0,0,0,0
James Develin,6142,FB,16,NE,220,0,44,176,1,0,0,0,1,65.6,53.5,68.1,0,1,4,5,0,0
Cam Newton,6153,QB,16,CAR,939,578,0,361,0,0,0,0,0,73.3,,61.2,9,1,2,12,1,0
A.J. Green,6156,WR,16,CIN,409,0,0,409,0,0,0,0,0,82.5,,68.2,0,0,0,0,4,0
Patrick Peterson,6157,CB,13,ARZ,10,2,0,8,0,0,0,0,0,75.6,,60.2,0,0,0,0,6,0
